Filename,SSp-ll,SSp-tr,VISC,AUDpo,VISal,VISam,VISl,VISp,VISpl,VISpm,VISli,VISpor,ACAd,ACAv,PL,ILA,ORB,VISrl,TEa,AId,AIp,AIv,RSPagl,RSPd,RSPv,PTLp,PERI,ECT,TT,DP,PIR,NLOT,COA,PAA,TR,HPF,FC,ENTl,ENTm,PAR,POST,PRE,SUB,ProS,CLA,EP,LA,BMA,ACB,FS,LSc,LSr,LSv,SH,sAMY,MEA,GPe,GPi,SI,MA,NDB,SPF,PP,MG,SGN,AM,AD,MD,PT,RE,RH,PCN,SubG,SO,ASO,PVH,ARH,ADP,AHA,MEPO,PS,SCH,VMH,TU,ZI,VTA,RN,SOC,TRN,LDT,CN,PARN,RPA,DN,PVT,BLA,DMH,ENT,FRP,HY,LHA,LS,MPO,MPN,MBmot,NTS,PB,PeF,PH,SSp,RSP,MOs,SFO,TH,VAL,VP,LGd,LP,PO,POL,VM,VPL,VPM,AV,IAM,IAD,LD,IMD,MTN,CL,PF,Xi,ILM,CM,GENd,GENv,VPLpc,VPMpc,LGd-sh,LGd-co,LGd-ip,LGv,IntG,SPFm,SPFp,SPA,ATN,APN,NOT,OP,PPT,RPF,CUN,III,IV,XII,I5,IF,IPR,PRC,VTN,VI
0378GFP-S6-01_0001.nd2_(RGB).png,0.3,0.3,0.3,488.1417679501584,394.76340456281616,0.3,209.0259587810194,72.6557870738561,0.3,286.0630984609402,86.87906423473434,0.3,0.3,0.3,0.3,0.3,0.3,0.3,41.4879970422684,0.3,0.3,0.3,36.51269312671235,22.77089672660212,19.90835799879307,0.3,270.1907346979136,149.77453450164293,0.3,0.3,0.3,0.3,13.361666419413964,0.3,183.2605174956429,19.3,0.3,107.27466146700895,0.3,0.3,0.3,0.3,0.3,33.110475194441435,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,61.25279037048616,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,0.3,199.7814544125708,108.5173938901334,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,60.106271988868784,0.3,0.3,0.3,0.3,0.3,0.3,38.34961468843067,0.3,0.3,0.3,0.3,0.3,24.667403055963504,0.3,0.3,4.506488034325027,0.3,0.3,0.3,0.3,0.3,207.87510076811927,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,30.291813636613377,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,534.221165884194,0.3,0.3,0
0378GFP-S7-06_0001.nd2_(RGB).png,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,7.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,21.37152369519148,21.332310513824243,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,619.2267330324951,0.3,0.3,0.3,179.18353650543978,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.3,0.3,155.51652591771162,326.1991044776119,95.03400147511825,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,192.30879352796345,0.3,113.7038972910088,0.3,0.3,50.81574514114383,41.476812250132,0.3,0.3,0.3,0.3,0.3,0.3,0.3,120.93401913769864,0.3,0.3,0.3,0.3,137.0108611155634,0.3,286.1567097538792,0.3,0.3,238.7057274769154,0.3,92.35568390697988,48.94295770882714,285.52595998555984,0.3,0.3,0.3,0.3,3148.68198757764,72.22960957162246,236.18324258923167,610.0282591351523,0.3,239.28126258646355,171.04788864560527,0.3,0.3,0.3,1592.2539224263633,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0
0378GFP-S1-10_0001.nd2_(RGB).png,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,88.84402538166577,50.87919315086262,152.04601556708676,0.3,0.3,34.63415378680509,0.3,74.00130513051305,0.3,0.3,0.3,0.3,0.3,0.3,29.82910819963,0.3,11.362135741324666,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,3.554413493617336,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0
0378GFP-S4-02_0001.nd2_(RGB).png,0.3,0.3,0.3,0.3,0.3,54.23974427382858,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,126.22410611303346,96.4053264319596,0.3,0.3,0.3,0.3,11.53544836330106,19.90835799879307,104.57127903422985,54.27814693958271,149.77453450164293,0.3,0.3,37.17378580441554,0.3,130.91666419413966,36.10017051416579,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,61.44463971683636,51.14584575260805,115.1401144443977,0.3,0.3,0.3,0.3,0.3,0.3,105.6576184759574,189.5907946244182,0.3,0.3,0.3,0.3,0.3,209.51393530584087,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,95.03400147511825,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,202.2902888671441,567.319486455044,0.3,0.3,118.17007199600228,103.24203062533002,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1146.323181808137,7.31749356589526,12.483701527981752,0.3,0.3,33.95190427460022,0.3,45.43526996113882,0.3,212.8346190284609,0.3,0.3,276.46705172093965,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,597.2827209098862,0.3,0.3,0.3,0.3,0.3,613.78730051697,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0
0378GFP-S3-03_0001.nd2_(RGB).png,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,27.55235389853524,0.3,0.3,0.3,0.3,0.3,0.3,0.3,17.813137716635975,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,464.4450556925432,30.872319858418184,0.3,0.3,9.996311401155996,0.3,0.3,22.972678035935303,0.3,0.3,0.3,0.3,0.3,0.3,14.38492532846188,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,14.276378355958157,0.3,0.3,0.3,0.3,0.3,0.3,0.3,28.36997426358104,0.3,13.317653974469346,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0
0378GFP-S2-04_0001.nd2_(RGB).png,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,27.55235389853524,53.38646097391777,0.3,0.3,0.3,0.3,0.3,46.07887171574012,0.3,49.43420342034203,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,309.73003712836214,46.15847978762727,0.3,0.3,29.388934203467983,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,14.38492532846188,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,49.422454961266816,0.3,36.098548429790696,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0
0378GFP-S5-06_0001.nd2_(RGB).png,0.3,0.3,0.3,488.1417679501584,507.46723443790654,0.3,0.3,126.92262737924818,0.3,286.0630984609402,0.3,0.3,0.3,0.3,0.3,0.3,0.3,126.22410611303346,82.6759940845368,0.3,0.3,0.3,0.3,45.24179345320424,98.34178999396536,52.43563951711492,216.21258775833087,149.77453450164293,0.3,0.3,7.67475716088311,0.3,26.42333283882793,0.3,518.6881329043214,18.3,0.3,53.78733073350448,0.3,0.3,0.3,0.3,20.57352947730429,0.3,0.3,30.872319858418184,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,418.72787061168174,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,0.3,299.5221816188562,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,45.18673085936536,0.3,30.2031359944344,0.3,14.332151428095507,0.3,0.3,0.3,0.3,80.40445197564352,0.3,0.3,0.3,0.3,0.3,49.03480611192701,0.3,0.3,17.12595213730011,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,79.9604208621545,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,635.2668489007793,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,534.221165884194,0.3,0.3,0
0378GFP-S4-01_0001.nd2_(RGB).png,127.19426493540996,30.74613874418553,90.90626481386808,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,17.995486991305928,0.3,0.3,0.3,0.3,0.3,0.3,157.9182394497238,0.3,0.3,0.3,10.104178999396536,0.3,0.3,0.3,0.3,0.3,74.04757160883109,0.3,13.361666419413964,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,77.65750928209053,92.01695957525456,0.3,86.43008583329826,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,623.2384913842291,266.6353825136612,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,452.3379264657171,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,8.719290856857306,20.888406125066,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,37.14184122095011,4.361233842660584,6.8088269872346725,0.3,36.05514829176273,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,615.446495379761,0.3,378.0723183391003,42.27986680406663,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,276.90952780814087,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0
0378GFP-S7-05_0001.nd2_(RGB).png,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,9.3,0.3,0.3,0.3,0.3,158.19685294457946,0.3,20.57352947730429,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,108.5173938901334,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,56.373116382950464,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0
0378GFP-S1-13_0001.nd2_(RGB).png,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,13.92617694926762,35.69097398261185,0.3,0.3,0.3,0.3,0.3,11.744717928935032,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,97.26311401155996,0.3,0.3,90.99071214374122,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,58.02853214890016,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,56.20551342383261,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,13.317653974469346,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0
0378GFP-S7-15_0001.nd2_(RGB).png,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,152.10755727048357,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0
0378GFP-S6-02_0001.nd2_(RGB).png,0.3,0.3,0.3,0.3,0.3,0.3,522.1148969525484,434.4347224431367,323.02007094295004,0.3,0.3,1163.941817406663,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,72.7253862534247,11.53544836330106,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,65.3,0.3,274.42257000921046,135.9365093317017,91.75267213938685,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,47.74068621486799,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,213.35984396034507,0.3,0.3,0.3,0.3,0.3,0.3,62.38095028112373,0.3,0.3,0.3,0.3,0.3,20.60616921330292,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0
0378GFP-S1-03_0001.nd2_(RGB).png,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.3,0.3,0.3,0.3,46.02633606969341,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,142.62205864460398,0.3,418.4714417036924,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,56.373116382950464,0.3,76.36401359975476,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,155.0632683148106,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1129.0861869313485,0
